"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"531","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_7",0.45,55
"532","San Antonio","downtown","Southwest","large","San Antonio, TX","Season_4",0.45,39
"533","Seattle","downtown","Pacific","large","Seattle, WA","Season_1",0.45,39
"534","Dallas","downtown","Southwest","large","Dallas, TX","Season_4",0.449166666666667,40
"535","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_6",0.448181818181818,53
"536","Seattle","downtown","Pacific","large","Seattle, WA","Season_10",0.446846827748346,53
"537","Edmonton","downtown","Canada","large","Edmonton, AB","Season_8",0.446442046121117,53
"538","Seattle","downtown","Pacific","large","Seattle, WA","Season_11",0.444839933582846,60
"539","Toronto","downtown","Canada","large","Toronto, ON","Season_10",0.444804119884358,54
"540","Detroit","downtown","Midwest","medium","Detroit, MI","Season_8",0.444388723764755,54
"541","Calgary","downtown","Canada","large","Calgary, AB","Season_7",0.444,56
"542","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_8",0.443424746281907,55
"543","Atlanta","downtown","Southeast","medium","Atlanta, GA","Season_6",0.443,54
"544","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_4",0.442727272727273,41
"545","Louisville","downtown","Midwest","medium","Louisville, KY","Season_5",0.4425,46
"546","Vancouver","downtown","Canada","medium","Vancouver, BC","Season_7",0.442222222222222,57
"547","San Jose","downtown","Pacific","large","San Jose, CA","Season_1",0.442,40
"548","Nashville","downtown","Southeast","large","Nashville, TN","Season_4",0.441666666666667,42
"549","Minneapolis","downtown","Midwest","medium","Minneapolis, MN","Season_9",0.441119951489089,58
"550","Quebec","downtown","Canada","medium","Quebec, QC","Season_7",0.441,58
"551","Montreal","downtown","Canada","large","Montreal, QC","Season_9",0.44052504557813,59
"552","Houston","downtown","Southwest","large","Houston, TX","Season_1",0.4405,41
"553","Seattle","downtown","Pacific","large","Seattle, WA","Season_3",0.440454545454545,48
"554","Seattle","downtown","Pacific","large","Seattle, WA","Season_7",0.439090909090909,59
"555","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_5",0.438888888888889,47
"556","Edmonton","downtown","Canada","large","Edmonton, AB","Season_10",0.438712454157753,55
"557","Ottawa","downtown","Canada","large","Ottawa, ON","Season_7",0.438,60
"558","Indianapolis","downtown","Midwest","large","Indianapolis, IN","Season_9",0.43782514421882,60
"559","Seattle","downtown","Pacific","large","Seattle, WA","Season_8",0.437526195533853,56
"560","San Jose","downtown","Pacific","large","San Jose, CA","Season_2",0.436363636363636,37
"561","London","downtown","Canada","medium","London, ON","Season_5",0.43625,48
"562","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_4",0.435,43
"563","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_4",0.435,44
"564","Calgary","downtown","Canada","large","Calgary, AB","Season_11",0.434450264248565,61
"565","Chicago","downtown","Midwest","large","Chicago, IL","Season_6",0.434444444444444,55
"566","Denver","downtown","Southwest","large","Denver, CO","Season_1",0.434090909090909,42
