"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"424","Oklahoma City","relative","Southwest","medium","Oklahoma City, OK","Season_5",0.87,46
"425","Ottawa","city","Canada","large","Ottawa, ON","Season_7",0.87,58
"426","Washington DC","relative","Northeast","large","Washington DC","Season_3",0.87,38
"427","Nashville","city","Southeast","large","Nashville, TN","Season_6",0.869,58
"428","San Jose","city","Pacific","large","San Jose, CA","Season_6",0.868888888888889,59
"429","Minneapolis","city","Midwest","medium","Minneapolis, MN","Season_6",0.868888888888889,60
"430","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_3",0.868461538461539,39
"431","San Jose","city","Pacific","large","San Jose, CA","Season_8",0.868442210090543,47
"432","Memphis","city","Southeast","medium","Memphis, TN","Season_7",0.8675,59
"433","Atlanta","city","Southeast","medium","Atlanta, GA","Season_4",0.867272727272727,36
"434","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_3",0.866666666666667,40
"435","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_4",0.86625,37
"436","Ottawa","city","Canada","large","Ottawa, ON","Season_3",0.86625,41
"437","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_5",0.866153846153846,47
"438","Edmonton","city","Canada","large","Edmonton, AB","Season_9",0.865830622862569,57
"439","Baltimore","downtown","Northeast","medium","Baltimore, MD","Season_7",0.865454545454545,60
"440","Las Vegas","relative","Southwest","medium","Las Vegas, NV","Season_8",0.865319742877605,48
"441","Columbus","city","Midwest","large","Columbus, OH","Season_5",0.865,48
"442","Miami","relative","Southeast","medium","Miami, FL","Season_8",0.864778706176779,49
"443","Phoenix","city","Southwest","large","Phoenix, AZ","Season_2",0.864285714285714,26
"444","Cincinnati","city","Midwest","medium","Cincinnati, OH","Season_7",0.86375,61
"445","Los Angeles","city","Pacific","large","Los Angeles, CA","Season_6",0.86375,61
"446","Tampa","relative","Southeast","medium","Tampa, FL","Season_7",0.863,62
"447","Bakersfield","relative","Pacific","medium","Bakersfield, CA","Season_6",0.862727272727273,62
"448","Detroit","city","Midwest","medium","Detroit, MI","Season_6",0.8625,63
"449","Charlotte","city","Southeast","large","Charlotte, NC","Season_7",0.861818181818182,63
"450","Memphis","city","Southeast","medium","Memphis, TN","Season_2",0.86125,27
"451","Boston","city","Northeast","medium","Boston, MA","Season_7",0.861,64
"452","Boston","city","Northeast","medium","Boston, MA","Season_8",0.860408023739217,50
"453","Cincinnati","city","Midwest","medium","Cincinnati, OH","Season_3",0.86,42
"454","Columbus","city","Midwest","large","Columbus, OH","Season_9",0.859383441250818,58
"455","Louisville","city","Midwest","medium","Louisville, KY","Season_4",0.858888888888889,38
"456","Wichita","city","Midwest","medium","Wichita, KS","Season_1",0.85875,18
"457","Cincinnati","city","Midwest","medium","Cincinnati, OH","Season_2",0.857777777777778,28
"458","Bakersfield","relative","Pacific","medium","Bakersfield, CA","Season_5",0.856666666666667,49
"459","Las Vegas","relative","Southwest","medium","Las Vegas, NV","Season_6",0.856666666666667,64
"460","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_5",0.856666666666667,50
"461","Kansas City","city","Midwest","medium","Kansas City, MO","Season_4",0.856,39
"462","Dallas","city","Southwest","large","Dallas, TX","Season_2",0.855555555555556,29
"463","Indianapolis","city","Midwest","large","Indianapolis, IN","Season_4",0.855,40
"464","Mississauga","relative","Canada","medium","Mississauga, ON","Season_3",0.855,43
"465","Kansas City","city","Midwest","medium","Kansas City, MO","Season_8",0.853406753529558,51
"466","Oakland","relative","Pacific","medium","Oakland, CA","Season_1",0.853076923076923,19
"467","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_8",0.853008244346413,52
"468","Columbus","city","Midwest","large","Columbus, OH","Season_8",0.852601868373119,53
"469","Nashville","city","Southeast","large","Nashville, TN","Season_9",0.852227881191995,59
"470","Charlotte","city","Southeast","large","Charlotte, NC","Season_2",0.852222222222222,30
"471","Tampa","downtown","Southeast","medium","Tampa, FL","Season_9",0.852070576983144,60
"472","Kansas City","city","Midwest","medium","Kansas City, MO","Season_7",0.85125,65
"473","Salt Lake City","city","Southwest","medium","Salt Lake City, UT","Season_5",0.85125,51
"474","Honolulu","relative","Pacific","medium","Honolulu, HI","Season_7",0.850909090909091,66
"475","Wichita","downtown","Midwest","medium","Wichita, KS","Season_10",0.850613519435087,10
"476","Indianapolis","city","Midwest","large","Indianapolis, IN","Season_8",0.850520660762074,54
"477","Cincinnati","city","Midwest","medium","Cincinnati, OH","Season_8",0.84931357646463,55
"478","Albuquerque","city","Southwest","medium","Albuquerque, NM","Season_1",0.849,20
"479","Tampa","downtown","Southeast","medium","Tampa, FL","Season_6",0.848888888888889,65
"480","Honolulu","downtown","Pacific","medium","Honolulu, HI","Season_4",0.848333333333333,41
"481","Colorado Springs","downtown","Southwest","medium","Colorado Springs, CO","Season_7",0.848333333333333,67
"482","Indianapolis","city","Midwest","large","Indianapolis, IN","Season_7",0.848181818181818,68
"483","Orlando","city","Southeast","medium","Orlando, FL","Season_4",0.848,42
"484","Houston","city","Southwest","large","Houston, TX","Season_2",0.847777777777778,31
"485","Los Angeles","city","Pacific","large","Los Angeles, CA","Season_7",0.847777777777778,69
"486","Charlotte","city","Southeast","large","Charlotte, NC","Season_9",0.847508377097528,61
"487","Washington DC","relative","Northeast","large","Washington DC","Season_7",0.846666666666667,70
"488","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_9",0.846654640278555,62
"489","Minneapolis","city","Midwest","medium","Minneapolis, MN","Season_8",0.846124701865867,56
"490","Tampa","relative","Southeast","medium","Tampa, FL","Season_8",0.846057931179244,57
"491","Bakersfield","relative","Pacific","medium","Bakersfield, CA","Season_2",0.845714285714286,32
"492","Kansas City","city","Midwest","medium","Kansas City, MO","Season_2",0.845714285714286,33
"493","San Jose","city","Pacific","large","San Jose, CA","Season_9",0.845586914815722,63
"494","Bakersfield","relative","Pacific","medium","Bakersfield, CA","Season_9",0.845576792342513,64
"495","Wichita","relative","Midwest","medium","Wichita, KS","Season_9",0.84545767131703,65
"496","Columbus","city","Midwest","large","Columbus, OH","Season_7",0.845454545454545,71
"497","Baltimore","downtown","Northeast","medium","Baltimore, MD","Season_8",0.845278217455864,58
"498","Phoenix","relative","Southwest","large","Phoenix, AZ","Season_2",0.845,34
