"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"210","Colorado Springs",0.835125732111571,2022-07-04,"downtown","Southwest","medium","Colorado Springs, CO"
"211","Columbus",0.597081122638528,2022-07-04,"downtown","Midwest","large","Columbus, OH"
"212","Dallas",1.22499233050171,2022-07-04,"downtown","Southwest","large","Dallas, TX"
"213","Denver",0.571440134429139,2022-07-04,"downtown","Southwest","large","Denver, CO"
"214","Detroit",0.767444418524439,2022-07-04,"downtown","Midwest","medium","Detroit, MI"
"215","Edmonton",0.474691213866812,2022-07-04,"downtown","Canada","large","Edmonton, AB"
"216","El Paso",0.849480907528083,2022-07-04,"downtown","Southwest","medium","El Paso, TX"
"217","Fort Worth",0.786451037393744,2022-07-04,"downtown","Southwest","large","Fort Worth, TX"
"218","Fresno",1.32631703321303,2022-07-04,"downtown","Pacific","medium","Fresno, CA"
"219","Halifax",0.516265293100781,2022-07-04,"downtown","Canada","medium","Halifax, NS"
"220","Honolulu",0.898810186983989,2022-07-04,"downtown","Pacific","medium","Honolulu, HI"
"221","Houston",0.859344202788767,2022-07-04,"downtown","Southwest","large","Houston, TX"
"222","Indianapolis",0.295998394151567,2022-07-04,"downtown","Midwest","large","Indianapolis, IN"
"223","Jacksonville",0.767454157879785,2022-07-04,"downtown","Southeast","large","Jacksonville, FL"
"224","Kansas City",0.676087151539418,2022-07-04,"downtown","Midwest","medium","Kansas City, MO"
"225","Las Vegas",0.77959403300052,2022-07-04,"downtown","Southwest","medium","Las Vegas, NV"
"226","London",0.496198662643759,2022-07-04,"downtown","Canada","medium","London, ON"
"227","Los Angeles",0.699721653321539,2022-07-04,"downtown","Pacific","large","Los Angeles, CA"
"228","Louisville",0.569360407755608,2022-07-04,"downtown","Midwest","medium","Louisville, KY"
"229","Memphis",0.687375471489652,2022-07-04,"downtown","Southeast","medium","Memphis, TN"
"230","Miami",0.692190078818746,2022-07-04,"downtown","Southeast","medium","Miami, FL"
"231","Milwaukee",0.431524281736067,2022-07-04,"downtown","Midwest","medium","Milwaukee, WI"
"232","Minneapolis",0.419901365985931,2022-07-04,"downtown","Midwest","medium","Minneapolis, MN"
"233","Mississauga",0.790446647229357,2022-07-04,"downtown","Canada","medium","Mississauga, ON"
"234","Montreal",0.428364530399046,2022-07-04,"downtown","Canada","large","Montreal, QC"
"235","Nashville",0.626379344479589,2022-07-04,"downtown","Southeast","large","Nashville, TN"
"236","New Orleans",0.369789945325168,2022-07-04,"downtown","Southeast","medium","New Orleans, LA"
"237","New York",0.68494442164952,2022-07-04,"downtown","Northeast","large","New York, NY"
