"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"20486","San Diego",0.48,2020-03-23,"relative","Pacific","large","San Diego, CA"
"20487","Oakland",0.83,2020-03-23,"relative","Pacific","medium","Oakland, CA"
"20488","Minneapolis",0.535,2020-03-23,"relative","Midwest","medium","Minneapolis, MN"
"20489","Tulsa",0.54,2020-03-23,"relative","Southwest","medium","Tulsa, OK"
"20490","Bakersfield",0.82,2020-03-23,"relative","Pacific","medium","Bakersfield, CA"
"20491","Wichita",0.66,2020-03-23,"relative","Midwest","medium","Wichita, KS"
"20492","Tampa",0.655,2020-03-23,"relative","Southeast","medium","Tampa, FL"
"20493","New Orleans",0.345,2020-03-23,"relative","Southeast","medium","New Orleans, LA"
"20494","Cleveland",0.37,2020-03-23,"relative","Midwest","medium","Cleveland, OH"
"20495","Fresno",0.93,2020-03-23,"relative","Pacific","medium","Fresno, CA"
"20496","Sacramento",0.56,2020-03-23,"relative","Pacific","medium","Sacramento, CA"
"20497","Kansas City",1.645,2020-03-23,"relative","Midwest","medium","Kansas City, MO"
"20498","Atlanta",0.45,2020-03-23,"relative","Southeast","medium","Atlanta, GA"
"20499","Omaha",0.715,2020-03-23,"relative","Midwest","medium","Omaha, NE"
"20500","Colorado Springs",0.55,2020-03-23,"relative","Southwest","medium","Colorado Springs, CO"
"20501","Raleigh",0.56,2020-03-23,"relative","Southeast","medium","Raleigh, NC"
"20502","Miami",0.87,2020-03-23,"relative","Southeast","medium","Miami, FL"
"20503","Dallas",0.43,2020-03-23,"relative","Southwest","large","Dallas, TX"
"20504","San Jose",0.575,2020-03-23,"relative","Pacific","large","San Jose, CA"
"20505","Austin",0.37,2020-03-23,"relative","Southwest","large","Austin, TX"
"20506","Jacksonville",0.59,2020-03-23,"relative","Southeast","large","Jacksonville, FL"
"20507","Fort Worth",0.555,2020-03-23,"relative","Southwest","large","Fort Worth, TX"
"20508","Columbus",0.52,2020-03-23,"relative","Midwest","large","Columbus, OH"
"20509","Indianapolis",0.475,2020-03-23,"relative","Midwest","large","Indianapolis, IN"
"20510","Charlotte",0.605,2020-03-23,"relative","Southeast","large","Charlotte, NC"
"20511","Portland",1.23,2020-03-30,"relative","Pacific","medium","Portland, OR"
"20512","Las Vegas",0.7,2020-03-30,"relative","Southwest","medium","Las Vegas, NV"
"20513","Detroit",0.21,2020-03-30,"relative","Midwest","medium","Detroit, MI"
"20514","Memphis",0.52,2020-03-30,"relative","Southeast","medium","Memphis, TN"
"20515","Louisville",1.61,2020-03-30,"relative","Midwest","medium","Louisville, KY"
"20516","Baltimore",0.62,2020-03-30,"relative","Northeast","medium","Baltimore, MD"
"20517","Milwaukee",0.64,2020-03-30,"relative","Midwest","medium","Milwaukee, WI"
"20518","Albuquerque",0.75,2020-03-30,"relative","Southwest","medium","Albuquerque, NM"
"20519","Tucson",0.59,2020-03-30,"relative","Southwest","medium","Tucson, AZ"
"20520","Calgary",0.48,2020-03-30,"relative","Canada","large","Calgary, AB"
"20521","Ottawa",0.49,2020-03-30,"relative","Canada","large","Ottawa, ON"
"20522","Edmonton",0.69,2020-03-30,"relative","Canada","large","Edmonton, AB"
"20523","Mississauga",0.74,2020-03-30,"relative","Canada","medium","Mississauga, ON"
"20524","Winnipeg",0.75,2020-03-30,"relative","Canada","large","Winnipeg, MB"
"20525","Vancouver",0.63,2020-03-30,"relative","Canada","medium","Vancouver, BC"
"20526","Quebec",0.61,2020-03-30,"relative","Canada","medium","Quebec, QC"
"20527","Halifax",0.53,2020-03-30,"relative","Canada","medium","Halifax, NS"
"20528","London",0.55,2020-03-30,"relative","Canada","medium","London, ON"
"20529","San Francisco",0.34,2020-03-30,"relative","Pacific","large","San Francisco, CA"
"20530","Seattle",0.68,2020-03-30,"relative","Pacific","large","Seattle, WA"
"20531","Denver",0.45,2020-03-30,"relative","Southwest","large","Denver, CO"
"20532","Washington DC",0.53,2020-03-30,"relative","Northeast","large","Washington DC"
"20533","Nashville",0.25,2020-03-30,"relative","Southeast","large","Nashville, TN"
"20534","Oklahoma City",0.53,2020-03-30,"relative","Southwest","medium","Oklahoma City, OK"
"20535","El Paso",0.78,2020-03-30,"relative","Southwest","medium","El Paso, TX"
"20536","Boston",0.32,2020-03-30,"relative","Northeast","medium","Boston, MA"
"20537","Honolulu",1.23,2020-03-30,"relative","Pacific","medium","Honolulu, HI"
"20538","Cincinnati",0.36,2020-03-30,"relative","Midwest","medium","Cincinnati, OH"
"20539","Pittsburgh",0.46,2020-03-30,"relative","Northeast","medium","Pittsburgh, PA"
"20540","Salt Lake City",0.48,2020-03-30,"relative","Southwest","medium","Salt Lake City, UT"
"20541","St Louis",0.5,2020-03-30,"relative","Midwest","medium","St. Louis, MO"
"20542","Orlando",1.88,2020-03-30,"relative","Southeast","medium","Orlando, FL"
"20543","Toronto",0.48,2020-03-30,"relative","Canada","large","Toronto, ON"
"20544","Montreal",0.47,2020-03-30,"relative","Canada","large","Montreal, QC"
"20545","New York",0.22,2020-03-30,"relative","Northeast","large","New York, NY"
"20546","Los Angeles",0.59,2020-03-30,"relative","Pacific","large","Los Angeles, CA"
"20547","Chicago",0.27,2020-03-30,"relative","Midwest","large","Chicago, IL"
"20548","Houston",0.45,2020-03-30,"relative","Southwest","large","Houston, TX"
"20549","Phoenix",0.89,2020-03-30,"relative","Southwest","large","Phoenix, AZ"
"20550","Philadelphia",0.45,2020-03-30,"relative","Northeast","large","Philadelphia, PA"
"20551","San Antonio",0.3,2020-03-30,"relative","Southwest","large","San Antonio, TX"
"20552","San Diego",0.39,2020-03-30,"relative","Pacific","large","San Diego, CA"
"20553","Oakland",0.79,2020-03-30,"relative","Pacific","medium","Oakland, CA"
"20554","Minneapolis",0.5,2020-03-30,"relative","Midwest","medium","Minneapolis, MN"
"20555","Tulsa",0.45,2020-03-30,"relative","Southwest","medium","Tulsa, OK"
"20556","Bakersfield",0.79,2020-03-30,"relative","Pacific","medium","Bakersfield, CA"
"20557","Wichita",0.64,2020-03-30,"relative","Midwest","medium","Wichita, KS"
"20558","Tampa",0.62,2020-03-30,"relative","Southeast","medium","Tampa, FL"
"20559","New Orleans",0.29,2020-03-30,"relative","Southeast","medium","New Orleans, LA"
"20560","Cleveland",0.34,2020-03-30,"relative","Midwest","medium","Cleveland, OH"
"20561","Fresno",0.83,2020-03-30,"relative","Pacific","medium","Fresno, CA"
"20562","Sacramento",0.4,2020-03-30,"relative","Pacific","medium","Sacramento, CA"
"20563","Kansas City",1.44,2020-03-30,"relative","Midwest","medium","Kansas City, MO"
"20564","Atlanta",0.43,2020-03-30,"relative","Southeast","medium","Atlanta, GA"
"20565","Omaha",0.6,2020-03-30,"relative","Midwest","medium","Omaha, NE"
"20566","Colorado Springs",0.53,2020-03-30,"relative","Southwest","medium","Colorado Springs, CO"
"20567","Raleigh",0.54,2020-03-30,"relative","Southeast","medium","Raleigh, NC"
"20568","Miami",0.82,2020-03-30,"relative","Southeast","medium","Miami, FL"
"20569","Dallas",0.37,2020-03-30,"relative","Southwest","large","Dallas, TX"
"20570","San Jose",0.54,2020-03-30,"relative","Pacific","large","San Jose, CA"
"20571","Austin",0.38,2020-03-30,"relative","Southwest","large","Austin, TX"
"20572","Jacksonville",0.58,2020-03-30,"relative","Southeast","large","Jacksonville, FL"
"20573","Fort Worth",0.5,2020-03-30,"relative","Southwest","large","Fort Worth, TX"
"20574","Columbus",0.6,2020-03-30,"relative","Midwest","large","Columbus, OH"
"20575","Indianapolis",0.45,2020-03-30,"relative","Midwest","large","Indianapolis, IN"
"20576","Charlotte",0.63,2020-03-30,"relative","Southeast","large","Charlotte, NC"
"20577","Portland",0.5,2020-04-06,"relative","Pacific","medium","Portland, OR"
"20578","Las Vegas",0.68,2020-04-06,"relative","Southwest","medium","Las Vegas, NV"
"20579","Detroit",0.27,2020-04-06,"relative","Midwest","medium","Detroit, MI"
"20580","Memphis",0.59,2020-04-06,"relative","Southeast","medium","Memphis, TN"
"20581","Louisville",1.29,2020-04-06,"relative","Midwest","medium","Louisville, KY"
"20582","Baltimore",0.48,2020-04-06,"relative","Northeast","medium","Baltimore, MD"
"20583","Milwaukee",0.62,2020-04-06,"relative","Midwest","medium","Milwaukee, WI"
"20584","Albuquerque",0.8,2020-04-06,"relative","Southwest","medium","Albuquerque, NM"
"20585","Tucson",0.58,2020-04-06,"relative","Southwest","medium","Tucson, AZ"
"20586","Calgary",0.46,2020-04-06,"relative","Canada","large","Calgary, AB"
"20587","Ottawa",0.43,2020-04-06,"relative","Canada","large","Ottawa, ON"
"20588","Edmonton",0.67,2020-04-06,"relative","Canada","large","Edmonton, AB"
"20589","Mississauga",0.78,2020-04-06,"relative","Canada","medium","Mississauga, ON"
"20590","Winnipeg",0.67,2020-04-06,"relative","Canada","large","Winnipeg, MB"
"20591","Vancouver",0.62,2020-04-06,"relative","Canada","medium","Vancouver, BC"
"20592","Quebec",0.56,2020-04-06,"relative","Canada","medium","Quebec, QC"
"20593","Halifax",0.44,2020-04-06,"relative","Canada","medium","Halifax, NS"
"20594","London",0.53,2020-04-06,"relative","Canada","medium","London, ON"
"20595","San Francisco",0.33,2020-04-06,"relative","Pacific","large","San Francisco, CA"
"20596","Seattle",0.64,2020-04-06,"relative","Pacific","large","Seattle, WA"
"20597","Denver",0.38,2020-04-06,"relative","Southwest","large","Denver, CO"
"20598","Washington DC",0.54,2020-04-06,"relative","Northeast","large","Washington DC"
"20599","Nashville",0.23,2020-04-06,"relative","Southeast","large","Nashville, TN"
"20600","Oklahoma City",0.45,2020-04-06,"relative","Southwest","medium","Oklahoma City, OK"
"20601","El Paso",0.81,2020-04-06,"relative","Southwest","medium","El Paso, TX"
"20602","Boston",0.28,2020-04-06,"relative","Northeast","medium","Boston, MA"
"20603","Honolulu",1.17,2020-04-06,"relative","Pacific","medium","Honolulu, HI"
"20604","Cincinnati",0.45,2020-04-06,"relative","Midwest","medium","Cincinnati, OH"
"20605","Pittsburgh",0.46,2020-04-06,"relative","Northeast","medium","Pittsburgh, PA"
"20606","Salt Lake City",0.44,2020-04-06,"relative","Southwest","medium","Salt Lake City, UT"
"20607","St Louis",0.5,2020-04-06,"relative","Midwest","medium","St. Louis, MO"
"20608","Orlando",1.21,2020-04-06,"relative","Southeast","medium","Orlando, FL"
"20609","Toronto",0.46,2020-04-06,"relative","Canada","large","Toronto, ON"
"20610","Montreal",0.41,2020-04-06,"relative","Canada","large","Montreal, QC"
"20611","New York",0.24,2020-04-06,"relative","Northeast","large","New York, NY"
"20612","Los Angeles",0.58,2020-04-06,"relative","Pacific","large","Los Angeles, CA"
"20613","Chicago",0.26,2020-04-06,"relative","Midwest","large","Chicago, IL"
"20614","Houston",0.39,2020-04-06,"relative","Southwest","large","Houston, TX"
"20615","Phoenix",0.59,2020-04-06,"relative","Southwest","large","Phoenix, AZ"
"20616","Philadelphia",0.41,2020-04-06,"relative","Northeast","large","Philadelphia, PA"
"20617","San Antonio",0.28,2020-04-06,"relative","Southwest","large","San Antonio, TX"
"20618","San Diego",0.4,2020-04-06,"relative","Pacific","large","San Diego, CA"
"20619","Oakland",0.92,2020-04-06,"relative","Pacific","medium","Oakland, CA"
"20620","Minneapolis",0.35,2020-04-06,"relative","Midwest","medium","Minneapolis, MN"
"20621","Tulsa",0.48,2020-04-06,"relative","Southwest","medium","Tulsa, OK"
"20622","Bakersfield",0.78,2020-04-06,"relative","Pacific","medium","Bakersfield, CA"
"20623","Wichita",0.59,2020-04-06,"relative","Midwest","medium","Wichita, KS"
"20624","Tampa",0.67,2020-04-06,"relative","Southeast","medium","Tampa, FL"
"20625","New Orleans",0.29,2020-04-06,"relative","Southeast","medium","New Orleans, LA"
"20626","Cleveland",0.4,2020-04-06,"relative","Midwest","medium","Cleveland, OH"
"20627","Fresno",0.76,2020-04-06,"relative","Pacific","medium","Fresno, CA"
