"","display_title","seasonal_average","region","metric","city","Season","lq_rank","color"
"115","Chicago, IL",0.434444444444444,"Midwest","downtown","Chicago","Season_6",51,"#007fa3"
"116","Chicago, IL",0.426039140714014,"Midwest","downtown","Chicago","Season_9",58,"#007fa3"
"117","Chicago, IL",0.375454545454545,"Midwest","downtown","Chicago","Season_3",52,"#007fa3"
"118","Chicago, IL",0.37,"Midwest","downtown","Chicago","Season_1",49,"#007fa3"
"119","Chicago, IL",0.311428571428571,"Midwest","downtown","Chicago","Season_5",58,"#007fa3"
"120","Chicago, IL",0.287,"Midwest","downtown","Chicago","Season_4",60,"#007fa3"
"121","Chicago, IL",0.237,"Midwest","downtown","Chicago","Season_2",61,"#007fa3"
"122","Cincinnati, OH",0.668333333333333,"Midwest","downtown","Cincinnati","Season_6",22,"#007fa3"
"123","Cincinnati, OH",0.641818181818182,"Midwest","downtown","Cincinnati","Season_7",29,"#007fa3"
"124","Cincinnati, OH",0.571574296147296,"Midwest","downtown","Cincinnati","Season_11",37,"#007fa3"
"125","Cincinnati, OH",0.566035773637019,"Midwest","downtown","Cincinnati","Season_8",32,"#007fa3"
"126","Cincinnati, OH",0.541596010295253,"Midwest","downtown","Cincinnati","Season_10",35,"#007fa3"
"127","Cincinnati, OH",0.535511655875268,"Midwest","downtown","Cincinnati","Season_9",36,"#007fa3"
"128","Cincinnati, OH",0.518,"Midwest","downtown","Cincinnati","Season_5",32,"#007fa3"
"129","Cincinnati, OH",0.514583333333333,"Midwest","downtown","Cincinnati","Season_3",32,"#007fa3"
"130","Cincinnati, OH",0.458,"Midwest","downtown","Cincinnati","Season_4",35,"#007fa3"
"131","Cincinnati, OH",0.402727272727273,"Midwest","downtown","Cincinnati","Season_2",36,"#007fa3"
"132","Cincinnati, OH",0.395,"Midwest","downtown","Cincinnati","Season_1",45,"#007fa3"
"133","Cleveland, OH",0.5125,"Midwest","downtown","Cleveland","Season_2",20,"#007fa3"
"134","Cleveland, OH",0.48,"Midwest","downtown","Cleveland","Season_1",31,"#007fa3"
"135","Cleveland, OH",0.452835877803241,"Midwest","downtown","Cleveland","Season_8",47,"#007fa3"
"136","Cleveland, OH",0.412727272727273,"Midwest","downtown","Cleveland","Season_4",43,"#007fa3"
"137","Cleveland, OH",0.411428571428571,"Midwest","downtown","Cleveland","Season_7",58,"#007fa3"
"138","Cleveland, OH",0.384545454545455,"Midwest","downtown","Cleveland","Season_3",49,"#007fa3"
"139","Cleveland, OH",0.363507915353498,"Midwest","downtown","Cleveland","Season_11",61,"#007fa3"
"140","Cleveland, OH",0.357031177935086,"Midwest","downtown","Cleveland","Season_9",61,"#007fa3"
"141","Cleveland, OH",0.313636363636364,"Midwest","downtown","Cleveland","Season_6",62,"#007fa3"
"142","Cleveland, OH",0.30461619502421,"Midwest","downtown","Cleveland","Season_10",62,"#007fa3"
"143","Cleveland, OH",0.293333333333333,"Midwest","downtown","Cleveland","Season_5",59,"#007fa3"
"144","Columbus, OH",1.12153278462065,"Midwest","downtown","Columbus","Season_9",3,"#007fa3"
"145","Columbus, OH",1.04629600598957,"Midwest","downtown","Columbus","Season_8",4,"#007fa3"
"146","Columbus, OH",1,"Midwest","downtown","Columbus","Season_4",2,"#007fa3"
"147","Columbus, OH",0.934936495382568,"Midwest","downtown","Columbus","Season_11",8,"#007fa3"
"148","Columbus, OH",0.744166666666667,"Midwest","downtown","Columbus","Season_7",18,"#007fa3"
"149","Columbus, OH",0.686751454529409,"Midwest","downtown","Columbus","Season_10",19,"#007fa3"
"150","Columbus, OH",0.526,"Midwest","downtown","Columbus","Season_5",29,"#007fa3"
"151","Columbus, OH",0.433846153846154,"Midwest","downtown","Columbus","Season_3",45,"#007fa3"
"152","Columbus, OH",0.408461538461538,"Midwest","downtown","Columbus","Season_6",55,"#007fa3"
"153","Columbus, OH",0.399444444444444,"Midwest","downtown","Columbus","Season_1",44,"#007fa3"
"154","Columbus, OH",0.298333333333333,"Midwest","downtown","Columbus","Season_2",55,"#007fa3"
"155","Detroit, MI",0.523043013653233,"Midwest","downtown","Detroit","Season_10",38,"#007fa3"
"156","Detroit, MI",0.4865208508148,"Midwest","downtown","Detroit","Season_11",50,"#007fa3"
"157","Detroit, MI",0.472857142857143,"Midwest","downtown","Detroit","Season_7",47,"#007fa3"
"158","Detroit, MI",0.444388723764755,"Midwest","downtown","Detroit","Season_8",50,"#007fa3"
"159","Detroit, MI",0.4234393357334,"Midwest","downtown","Detroit","Season_9",59,"#007fa3"
"160","Detroit, MI",0.412857142857143,"Midwest","downtown","Detroit","Season_6",54,"#007fa3"
"161","Detroit, MI",0.379090909090909,"Midwest","downtown","Detroit","Season_3",50,"#007fa3"
"162","Detroit, MI",0.345555555555556,"Midwest","downtown","Detroit","Season_5",54,"#007fa3"
"163","Detroit, MI",0.282272727272727,"Midwest","downtown","Detroit","Season_1",61,"#007fa3"
"164","Detroit, MI",0.259,"Midwest","downtown","Detroit","Season_4",61,"#007fa3"
"165","Detroit, MI",0.258888888888889,"Midwest","downtown","Detroit","Season_2",59,"#007fa3"
"166","Indianapolis, IN",0.498,"Midwest","downtown","Indianapolis","Season_7",45,"#007fa3"
"167","Indianapolis, IN",0.488181818181818,"Midwest","downtown","Indianapolis","Season_4",32,"#007fa3"
"168","Indianapolis, IN",0.464166666666667,"Midwest","downtown","Indianapolis","Season_5",39,"#007fa3"
"169","Indianapolis, IN",0.462,"Midwest","downtown","Indianapolis","Season_6",44,"#007fa3"
"170","Indianapolis, IN",0.43782514421882,"Midwest","downtown","Indianapolis","Season_9",56,"#007fa3"
"171","Indianapolis, IN",0.432575798665262,"Midwest","downtown","Indianapolis","Season_8",53,"#007fa3"
"172","Indianapolis, IN",0.408181818181818,"Midwest","downtown","Indianapolis","Season_2",35,"#007fa3"
"173","Indianapolis, IN",0.3975,"Midwest","downtown","Indianapolis","Season_3",48,"#007fa3"
"174","Indianapolis, IN",0.384016990335474,"Midwest","downtown","Indianapolis","Season_11",59,"#007fa3"
"175","Indianapolis, IN",0.383366085878747,"Midwest","downtown","Indianapolis","Season_10",59,"#007fa3"
"176","Indianapolis, IN",0.37,"Midwest","downtown","Indianapolis","Season_1",50,"#007fa3"
"177","Kansas City, MO",0.986666666666667,"Midwest","downtown","Kansas City","Season_1",1,"#007fa3"
"178","Kansas City, MO",0.8325,"Midwest","downtown","Kansas City","Season_2",3,"#007fa3"
