"","X","week","metric","display_title","rolling_avg","city","region","color"
"114",2110,2020-04-13,"downtown","Colorado Springs, CO",0.539090909090909,"Colorado Springs","Southwest","#e6ab02"
"115",2091,2020-04-13,"downtown","Denver, CO",0.323181818181818,"Denver","Southwest","#e6ab02"
"116",2095,2020-04-13,"downtown","El Paso, TX",0.656363636363636,"El Paso","Southwest","#e6ab02"
"117",2085,2020-04-13,"downtown","Fort Worth, TX",0.460909090909091,"Fort Worth","Southwest","#e6ab02"
"118",2068,2020-04-13,"downtown","Houston, TX",0.358636363636364,"Houston","Southwest","#e6ab02"
"119",2057,2020-04-13,"downtown","Las Vegas, NV",0.491363636363636,"Las Vegas","Southwest","#e6ab02"
"120",2069,2020-04-13,"downtown","Phoenix, AZ",0.575909090909091,"Phoenix","Southwest","#e6ab02"
"121",2100,2020-04-13,"downtown","Salt Lake City, UT",0.453181818181818,"Salt Lake City","Southwest","#e6ab02"
"122",2071,2020-04-13,"downtown","San Antonio, TX",0.280454545454545,"San Antonio","Southwest","#e6ab02"
"123",2064,2020-04-13,"downtown","Tucson, AZ",0.537272727272727,"Tucson","Southwest","#e6ab02"
"124",2075,2020-04-13,"downtown","Tulsa, OK",0.418636363636364,"Tulsa","Southwest","#e6ab02"
"125",2113,2020-04-20,"downtown","Calgary, AB",0.326363636363636,"Calgary","Canada","#ab1368"
"126",2115,2020-04-20,"downtown","Edmonton, AB",0.443181818181818,"Edmonton","Canada","#ab1368"
"127",2120,2020-04-20,"downtown","Halifax, NS",0.353636363636364,"Halifax","Canada","#ab1368"
"128",2121,2020-04-20,"downtown","London, ON",0.306363636363636,"London","Canada","#ab1368"
"129",2170,2020-04-20,"downtown","Montreal, QC",0.247727272727273,"Montreal","Canada","#ab1368"
"130",2114,2020-04-20,"downtown","Ottawa, ON",0.326363636363636,"Ottawa","Canada","#ab1368"
"131",2119,2020-04-20,"downtown","Quebec, QC",0.291363636363636,"Quebec","Canada","#ab1368"
"132",2169,2020-04-20,"downtown","Toronto, ON",0.29,"Toronto","Canada","#ab1368"
"133",2118,2020-04-20,"downtown","Vancouver, BC",0.315454545454545,"Vancouver","Canada","#ab1368"
"134",2117,2020-04-20,"downtown","Winnipeg, MB",0.501363636363636,"Winnipeg","Canada","#ab1368"
"135",2133,2020-04-20,"downtown","Chicago, IL",0.179090909090909,"Chicago","Midwest","#007fa3"
"136",2164,2020-04-20,"downtown","Cincinnati, OH",0.298181818181818,"Cincinnati","Midwest","#007fa3"
"137",2146,2020-04-20,"downtown","Cleveland, OH",0.376363636363636,"Cleveland","Midwest","#007fa3"
"138",2152,2020-04-20,"downtown","Columbus, OH",0.320454545454545,"Columbus","Midwest","#007fa3"
"139",2124,2020-04-20,"downtown","Detroit, MI",0.182272727272727,"Detroit","Midwest","#007fa3"
"140",2153,2020-04-20,"downtown","Indianapolis, IN",0.272727272727273,"Indianapolis","Midwest","#007fa3"
"141",2173,2020-04-20,"downtown","Kansas City, MO",0.85,"Kansas City","Midwest","#007fa3"
"142",2126,2020-04-20,"downtown","Louisville, KY",0.525909090909091,"Louisville","Midwest","#007fa3"
"143",2128,2020-04-20,"downtown","Milwaukee, WI",0.460909090909091,"Milwaukee","Midwest","#007fa3"
"144",2140,2020-04-20,"downtown","Minneapolis, MN",0.285909090909091,"Minneapolis","Midwest","#007fa3"
"145",2175,2020-04-20,"downtown","Omaha, NE",0.481818181818182,"Omaha","Midwest","#007fa3"
"146",2167,2020-04-20,"downtown","St. Louis, MO",0.277272727272727,"St Louis","Midwest","#007fa3"
"147",2143,2020-04-20,"downtown","Wichita, KS",0.494545454545455,"Wichita","Midwest","#007fa3"
"148",2127,2020-04-20,"downtown","Baltimore, MD",0.501363636363636,"Baltimore","Northeast","#8dbf2e"
"149",2162,2020-04-20,"downtown","Boston, MA",0.168181818181818,"Boston","Northeast","#8dbf2e"
"150",2131,2020-04-20,"downtown","New York, NY",0.19,"New York","Northeast","#8dbf2e"
"151",2136,2020-04-20,"downtown","Philadelphia, PA",0.304545454545455,"Philadelphia","Northeast","#8dbf2e"
"152",2165,2020-04-20,"downtown","Pittsburgh, PA",0.323636363636364,"Pittsburgh","Northeast","#8dbf2e"
"153",2158,2020-04-20,"downtown","Washington DC",0.597272727272727,"Washington DC","Northeast","#8dbf2e"
"154",2142,2020-04-20,"downtown","Bakersfield, CA",0.84,"Bakersfield","Pacific","#6d247a"
"155",2171,2020-04-20,"downtown","Fresno, CA",0.782727272727273,"Fresno","Pacific","#6d247a"
"156",2163,2020-04-20,"downtown","Honolulu, HI",0.835,"Honolulu","Pacific","#6d247a"
"157",2132,2020-04-20,"downtown","Los Angeles, CA",0.456818181818182,"Los Angeles","Pacific","#6d247a"
"158",2139,2020-04-20,"downtown","Oakland, CA",0.526818181818182,"Oakland","Pacific","#6d247a"
"159",2122,2020-04-20,"downtown","Portland, OR",0.503636363636364,"Portland","Pacific","#6d247a"
"160",2172,2020-04-20,"downtown","Sacramento, CA",0.421818181818182,"Sacramento","Pacific","#6d247a"
"161",2138,2020-04-20,"downtown","San Diego, CA",0.321363636363636,"San Diego","Pacific","#6d247a"
"162",2155,2020-04-20,"downtown","San Francisco, CA",0.187727272727273,"San Francisco","Pacific","#6d247a"
