,city,week,metric,normalized_visits_by_total_visits
223,Albuquerque,2021-07-26,downtown,0.74
224,Albuquerque,2021-07-26,metro,1.05
225,Albuquerque,2021-08-02,relative,0.7
226,Albuquerque,2021-08-02,downtown,0.72
227,Albuquerque,2021-08-02,metro,1.04
228,Albuquerque,2021-08-09,relative,0.79
229,Albuquerque,2021-08-09,downtown,0.82
230,Albuquerque,2021-08-09,metro,1.04
231,Albuquerque,2021-08-16,relative,0.9
232,Albuquerque,2021-08-16,downtown,0.81
233,Albuquerque,2021-08-16,metro,0.89
234,Albuquerque,2021-08-23,relative,0.86
235,Albuquerque,2021-08-23,downtown,0.77
236,Albuquerque,2021-08-23,metro,0.91
237,Albuquerque,2021-08-30,relative,0.85
238,Albuquerque,2021-08-30,downtown,0.78
239,Albuquerque,2021-08-30,metro,0.91
240,Albuquerque,2021-09-06,relative,0.84
241,Albuquerque,2021-09-06,downtown,0.8
242,Albuquerque,2021-09-06,metro,0.94
243,Albuquerque,2021-09-13,relative,0.83
244,Albuquerque,2021-09-13,downtown,0.75
245,Albuquerque,2021-09-13,metro,0.9
246,Albuquerque,2021-09-20,relative,0.83
247,Albuquerque,2021-09-20,downtown,0.72
248,Albuquerque,2021-09-20,metro,0.87
249,Albuquerque,2021-09-27,relative,0.81
250,Albuquerque,2021-09-27,downtown,0.75
251,Albuquerque,2021-09-27,metro,0.92
252,Albuquerque,2021-10-04,relative,0.8
253,Albuquerque,2021-10-04,downtown,0.76
254,Albuquerque,2021-10-04,metro,0.95
255,Albuquerque,2021-10-11,relative,0.79
256,Albuquerque,2021-10-11,downtown,0.72
257,Albuquerque,2021-10-11,metro,0.91
258,Albuquerque,2021-10-18,relative,0.73
259,Albuquerque,2021-10-18,downtown,0.68
260,Albuquerque,2021-10-18,metro,0.93
261,Albuquerque,2021-10-25,relative,0.76
262,Albuquerque,2021-10-25,downtown,0.7
263,Albuquerque,2021-10-25,metro,0.93
264,Albuquerque,2021-11-01,relative,0.73
265,Albuquerque,2021-11-01,downtown,0.7
266,Albuquerque,2021-11-01,metro,0.96
267,Albuquerque,2021-11-08,relative,0.75
268,Albuquerque,2021-11-08,downtown,0.73
269,Albuquerque,2021-11-08,metro,0.97
270,Albuquerque,2021-11-15,relative,0.76
271,Albuquerque,2021-11-15,downtown,0.74
272,Albuquerque,2021-11-15,metro,0.97
273,Albuquerque,2021-11-22,relative,0.61
274,Albuquerque,2021-11-22,downtown,0.55
275,Albuquerque,2021-11-22,metro,0.91
276,Albuquerque,2021-11-29,relative,0.93
277,Albuquerque,2021-11-29,downtown,0.86
278,Albuquerque,2021-11-29,metro,0.93
279,Albuquerque,2021-12-06,relative,0.7
280,Albuquerque,2021-12-06,downtown,0.69
281,Albuquerque,2021-12-06,metro,0.99
282,Albuquerque,2021-12-13,relative,0.67
283,Albuquerque,2021-12-13,downtown,0.63
284,Albuquerque,2021-12-13,metro,0.94
285,Albuquerque,2021-12-20,relative,0.65
286,Albuquerque,2021-12-20,downtown,0.55
287,Albuquerque,2021-12-20,metro,0.84
288,Albuquerque,2021-12-27,relative,0.81
289,Albuquerque,2021-12-27,downtown,0.69
290,Albuquerque,2021-12-27,metro,0.85
291,Albuquerque,2022-01-03,relative,0.89
292,Albuquerque,2022-01-03,downtown,0.8
293,Albuquerque,2022-01-03,metro,0.9
294,Albuquerque,2022-01-10,relative,0.79
295,Albuquerque,2022-01-10,downtown,0.74
296,Albuquerque,2022-01-10,metro,0.94
297,Albuquerque,2022-01-17,relative,1.69
298,Albuquerque,2022-01-17,downtown,1.66
299,Albuquerque,2022-01-17,metro,0.98
300,Albuquerque,2022-01-24,relative,1.65
301,Albuquerque,2022-01-24,downtown,1.56
302,Albuquerque,2022-01-24,metro,0.95
303,Albuquerque,2022-01-31,relative,1.64
304,Albuquerque,2022-01-31,downtown,1.59
305,Albuquerque,2022-01-31,metro,0.97
306,Albuquerque,2022-02-07,relative,1.39
307,Albuquerque,2022-02-07,downtown,1.45
308,Albuquerque,2022-02-07,metro,1.04
309,Albuquerque,2022-02-14,relative,1.29
310,Albuquerque,2022-02-14,downtown,1.23
311,Albuquerque,2022-02-14,metro,0.96
312,Albuquerque,2022-02-21,relative,1.34
313,Albuquerque,2022-02-21,downtown,1.26
314,Albuquerque,2022-02-21,metro,0.94
315,Albuquerque,2022-02-28,downtown,0.7267063882925849
316,Albuquerque,2022-02-28,metro,0.9083319028225232
317,Albuquerque,2022-02-28,relative,0.8000449902006518
318,Albuquerque,2022-03-07,downtown,0.7164498934109432
319,Albuquerque,2022-03-07,metro,0.990079466373904
320,Albuquerque,2022-03-07,relative,0.7236286760242492
321,Albuquerque,2022-03-14,downtown,0.8021798727712067
322,Albuquerque,2022-03-14,metro,0.9705567646201264
323,Albuquerque,2022-03-14,relative,0.826515152964987
324,Albuquerque,2022-03-21,downtown,0.5884276162253701
325,Albuquerque,2022-03-21,metro,0.8366473735532455
326,Albuquerque,2022-03-21,relative,0.703316157829212
327,Albuquerque,2022-03-28,downtown,0.5993927426403288
328,Albuquerque,2022-03-28,metro,0.8242650681589767
329,Albuquerque,2022-03-28,relative,0.7271844529079613
330,Albuquerque,2022-04-04,downtown,0.6694718474765782
331,Albuquerque,2022-04-04,metro,0.9432689907319196
332,Albuquerque,2022-04-04,relative,0.7097358802785497
333,Albuquerque,2022-04-11,downtown,0.6183182113545286
334,Albuquerque,2022-04-11,metro,0.942560392630026
335,Albuquerque,2022-04-11,relative,0.6559985080947814
336,Albuquerque,2022-04-18,downtown,0.6588529078994106
337,Albuquerque,2022-04-18,metro,0.902302463224424
338,Albuquerque,2022-04-18,relative,0.7301907450689719
339,Albuquerque,2022-04-25,downtown,0.7545185829326032
340,Albuquerque,2022-04-25,metro,0.7762006888776617
341,Albuquerque,2022-04-25,relative,0.9720663660110768
342,Albuquerque,2022-05-02,downtown,0.840471655265354
343,Albuquerque,2022-05-02,metro,0.9754235042798044
344,Albuquerque,2022-05-02,relative,0.861647942229882
345,Albuquerque,2022-05-09,downtown,0.9016639718640872
346,Albuquerque,2022-05-09,metro,1.0605159289640342
347,Albuquerque,2022-05-09,relative,0.8502125684664428
348,Albuquerque,2022-05-16,downtown,0.773353199977868
349,Albuquerque,2022-05-16,metro,1.0076368058302565
350,Albuquerque,2022-05-16,relative,0.7674920125021166
351,Albuquerque,2022-05-23,downtown,0.8260952359511277
352,Albuquerque,2022-05-23,metro,1.0077813150610748
353,Albuquerque,2022-05-23,relative,0.819716761568519
354,Albuquerque,2022-05-30,downtown,0.8199220234773328
355,Albuquerque,2022-05-30,metro,1.008891985635996
356,Albuquerque,2022-05-30,relative,0.8126955463527263
357,Albuquerque,2022-06-06,downtown,0.7862006977680193
358,Albuquerque,2022-06-06,metro,1.005109670082564
359,Albuquerque,2022-06-06,relative,0.7822038939327259
360,Atlanta,2020-02-24,downtown,0.66
361,Atlanta,2020-02-24,metro,0.79
362,Atlanta,2020-02-24,relative,0.84
363,Atlanta,2020-03-02,downtown,0.84
364,Atlanta,2020-03-02,metro,0.88
365,Atlanta,2020-03-02,relative,0.96
